run_accession	experiment_title	experiment_alias	run_alias	fastq_md5	fastq_ftp
SRR5314337	Illumina MiSeq sequencing; fungal mock community; even; high PCR cycle number	FMockE_HC	FMockE.HC_S190_L001_R1_001.fastq.gz	958d42b27e0f4a981be0fdb2460a7b23;1b66dca9de2f9be1095966dfe0f9304e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/007/SRR5314337/SRR5314337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/007/SRR5314337/SRR5314337_2.fastq.gz
SRR5314338	Illumina MiSeq sequencing; fungal mock community; even; high PCR cycle number	FMockE_HC3	FMockE.HC3_S107_L001_R2_001.fastq.gz	a3548e1822b6e5e4139d15e2a50ce75a;cf31009e8491b7ded15a429e4f3f7af1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/008/SRR5314338/SRR5314338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/008/SRR5314338/SRR5314338_2.fastq.gz
SRR5314339	Illumina MiSeq sequencing; fungal mock community; even; high PCR cycle number	FMockE_HC1	FMockE.HC1_S178_L001_R1_001.fastq.gz	b638aa7e2cddbac1b8a7cb7d01c1bc14;749518959f3284d4d095cb513133e402	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/009/SRR5314339/SRR5314339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/009/SRR5314339/SRR5314339_2.fastq.gz
SRR5314343	Illumina MiSeq sequencing; fungal mock community; staggered B; standard workflow	FMockB3	FMockB3_S153_L001_R1_001.fastq.gz	53a1ed50773f88c2f5ab78f5a54c1d70;fc8dcef535c8e21a6d1fbd7434d457d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/003/SRR5314343/SRR5314343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/003/SRR5314343/SRR5314343_2.fastq.gz
SRR5314344	Illumina MiSeq sequencing; fungal mock community; staggered B; standard workflow	FMockB2	FMockB2_S141_L001_R2_001.fastq.gz	f7a0e6849d7758eb3a80bb8cc8cbe94a;31c972c62d892346f017dd0643db2fb5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/004/SRR5314344/SRR5314344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/004/SRR5314344/SRR5314344_2.fastq.gz
SRR5314345	Illumina MiSeq sequencing; fungal mock community; staggered B; standard workflow	FMockB1	FMockB1_S129_L001_R2_001.fastq.gz	dc40ea83261f18e64091ebbc82f598d6;445edd51492de8b8314325e2ec4cb4be	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/005/SRR5314345/SRR5314345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/005/SRR5314345/SRR5314345_2.fastq.gz
SRR5314346	Illumina MiSeq sequencing; fungal mock community; staggered B; long PCR extension time	FMockB_LE3	FMockB.LE3_S166_L001_R1_001.fastq.gz	14b70b854f408ce7f2a2f6b50a9e508f;fcdf063a61faab480da274f1fbc6eaec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/006/SRR5314346/SRR5314346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/006/SRR5314346/SRR5314346_2.fastq.gz
SRR5314347	Illumina MiSeq sequencing; fungal mock community; staggered B; long PCR extension time	FMockB_LE2	FMockB.LE2_S154_L001_R1_001.fastq.gz	9a41c9745447800e8cee1e6adf9f9690;e21f7b58b87820b4b14a817aad886e13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/007/SRR5314347/SRR5314347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/007/SRR5314347/SRR5314347_2.fastq.gz
SRR5314348	Illumina MiSeq sequencing; fungal mock community; staggered B; long PCR extension time	FMockB_LE1	FMockB.LE1_S142_L001_R2_001.fastq.gz	9f361f21725f47a39d2a3dc5ebccf7b2;c8fb6e7ae69a5d47259408430d95f0a9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/008/SRR5314348/SRR5314348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/008/SRR5314348/SRR5314348_2.fastq.gz
SRR5314349	Illumina MiSeq sequencing; fungal mock community; staggered B; high PCR cycle number	FMockB_HC3	FMockB.HC3_S179_L001_R2_001.fastq.gz	230046dd21437645a96d4d5f398a723f;3fbd6b498b4c5a726671feb2a7be4c11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/009/SRR5314349/SRR5314349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/009/SRR5314349/SRR5314349_2.fastq.gz
SRR5314350	Illumina MiSeq sequencing; fungal mock community; staggered B; high PCR cycle number	FMockB_HC2	FMockB.HC2_S167_L001_R2_001.fastq.gz	9ca6f60dfc49da7064deb37e211b0ede;94dbc5fa64349ba4cb9309ff85883878	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/000/SRR5314350/SRR5314350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/000/SRR5314350/SRR5314350_2.fastq.gz
SRR5314351	Illumina MiSeq sequencing; fungal mock community; staggered B; high PCR cycle number	FMockB_HC1	FMockB.HC1_S155_L001_R2_001.fastq.gz	4ce53e752795f13e68ef9dc482a43d6c;a1ebfe9dbcc4b6a6351bf0d81d58c04f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/001/SRR5314351/SRR5314351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/001/SRR5314351/SRR5314351_2.fastq.gz
SRR5314355	Illumina MiSeq sequencing; fungal mock community; staggered A; standard workflow	FMockA3	FMockA3_S117_L001_R1_001.fastq.gz	b10999262321a5166dff46ee13ddc22b;3b034d1c466e33805bbf5658022ff7a8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/005/SRR5314355/SRR5314355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/005/SRR5314355/SRR5314355_2.fastq.gz
SRR5314356	Illumina MiSeq sequencing; fungal mock community; staggered A; standard workflow	FMockA2	FMockA2_S105_L001_R2_001.fastq.gz	cc36a28ada66ddde5db8470785cb8de1;86fb5da7524ab5ffc4b563b7c27a7ff9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/006/SRR5314356/SRR5314356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/006/SRR5314356/SRR5314356_2.fastq.gz
SRR5314357	Illumina MiSeq sequencing; fungal mock community; staggered A; standard workflow	FMockA1	FMockA1_S188_L001_R1_001.fastq.gz	8d6860816158db77dcf5f939b97daf0e;9b5cb86b1d32d3ef3fb994179640049a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/007/SRR5314357/SRR5314357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/007/SRR5314357/SRR5314357_2.fastq.gz
SRR5314358	Illumina MiSeq sequencing; fungal mock community; staggered A; long PCR extension time	FMockA_LE3	FMockA.LE3_S130_L001_R2_001.fastq.gz	f5015885d968cbd22f3d270ba6453134;416a3d9bf08eb362705cd39e68eb8921	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/008/SRR5314358/SRR5314358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/008/SRR5314358/SRR5314358_2.fastq.gz
SRR5314359	Illumina MiSeq sequencing; fungal mock community; staggered A; long PCR extension time	FMockA_LE2	FMockA.LE2_S118_L001_R2_001.fastq.gz	2b5718c8f38facc068a554661802e7b9;4c0f3cc68227cb24791845ad631635e1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/009/SRR5314359/SRR5314359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/009/SRR5314359/SRR5314359_2.fastq.gz
SRR5314360	Illumina MiSeq sequencing; fungal mock community; staggered A; long PCR extension time	FMockA_LE1	FMockA.LE1_S106_L001_R1_001.fastq.gz	13bff32a835664bb89c0d794508774a9;873d4e0acbfd32512a4709d87806ba32	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/000/SRR5314360/SRR5314360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/000/SRR5314360/SRR5314360_2.fastq.gz
SRR5314361	Illumina MiSeq sequencing; fungal mock community; staggered A; high PCR cycle number	FMockA_HC3	FMockA.HC3_S143_L001_R1_001.fastq.gz	05690f522d548894383bef632eaf8f53;ea62496ce5ed4172b8d325e2c7cee1eb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/001/SRR5314361/SRR5314361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/001/SRR5314361/SRR5314361_2.fastq.gz
SRR5314362	Illumina MiSeq sequencing; fungal mock community; staggered A; high PCR cycle number	FMockA_HC2	FMockA.HC2_S131_L001_R1_001.fastq.gz	2c0b1d3df1f398cbff645a55e7a35a59;3413274b1af010d92c0f36eb9ed54498	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/002/SRR5314362/SRR5314362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/002/SRR5314362/SRR5314362_2.fastq.gz
SRR5314363	Illumina MiSeq sequencing; fungal mock community; staggered A; high PCR cycle number	FMockA_HC1	FMockA.HC1_S119_L001_R1_001.fastq.gz	3d9c8a474d02325f14e602d36df8be4b;e4a75b7fa9e5cb92761897ccbc55f6d8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/003/SRR5314363/SRR5314363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/003/SRR5314363/SRR5314363_2.fastq.gz
SRR5838503	Illumina MiSeq sequencing; fungal mock community; staggered B; PreAmp	MockB_PreAmp_3	MockBPrmp3_S6_L001_R1_001.fastq.gz	6e9ca7be15567260a7c1d97657ae21d6;4916b31a8bf3896b2003472a2b34eab6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5838503/SRR5838503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5838503/SRR5838503_2.fastq.gz
SRR5838504	Illumina MiSeq sequencing; fungal mock community; staggered B; PreAmp	MockB_PreAmp_2	MockBPrmp2_S5_L001_R1_001.fastq.gz	cd295aac4ec2a6d5eb11b68d419265df;5033b11b6c73df0671488e713ca2f07e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5838504/SRR5838504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5838504/SRR5838504_2.fastq.gz
SRR5838505	Illumina MiSeq sequencing; fungal mock community; staggered B; PreAmp	MockB_PreAmp_1	MockBPrmp1_S4_L001_R1_001.fastq.gz	c5881e2d725caf3b66e6033335ff9d20;311763e1c1c95677fc5545fed88fd397	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5838505/SRR5838505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5838505/SRR5838505_2.fastq.gz
SRR5838506	Illumina MiSeq sequencing; fungal mock community; staggered B; Phusion	MockB_Phusion_3	MockBPhGn3_S26_L001_R2_001.fastq.gz	63334c26c3827b1b4b97fa0f888a4482;1d6a754a7c77fba8861c4b3ba1857a5e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5838506/SRR5838506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5838506/SRR5838506_2.fastq.gz
SRR5838507	Illumina MiSeq sequencing; fungal mock community; staggered B; Phusion	MockB_Phusion_2	MockBPhGn2_S25_L001_R2_001.fastq.gz	624fba370fbcc5c5961ed33fac74ae96;90d50807c08ba974d577b040cd25f917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5838507/SRR5838507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5838507/SRR5838507_2.fastq.gz
SRR5838508	Illumina MiSeq sequencing; fungal mock community; staggered B; Phusion	MockB_Phusion_1	MockBPhGn1_S24_L001_R1_001.fastq.gz	2b4f1e0e21641f1bc0acb68a541bcd51;37aee289b4c0e5a52c5959d8f0a78579	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5838508/SRR5838508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5838508/SRR5838508_2.fastq.gz
SRR5838509	Illumina MiSeq sequencing; fungal mock community; staggered B; GoTaq	MockB_GoTaq_3	MockBGoTq3_S16_L001_R1_001.fastq.gz	cf85fb8974f684f2cd8bb16b2f933395;4ff2f61e3b469d6af261e704dd746e00	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5838509/SRR5838509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5838509/SRR5838509_2.fastq.gz
SRR5838510	Illumina MiSeq sequencing; fungal mock community; staggered B; GoTaq	MockB_GoTaq_2	MockBGoTq2_S15_L001_R2_001.fastq.gz	70f16e4dcb131668b9b4f118e6c1d2ce;6d11d1e7705f549fb4a26e4a93fa39bf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5838510/SRR5838510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5838510/SRR5838510_2.fastq.gz
SRR5838511	Illumina MiSeq sequencing; fungal mock community; even; GoTaq	MockE_GoTaq_2	MockEGoTq2_S18_L001_R2_001.fastq.gz	a8f28620147241f69100b502e4463fcc;e80762bb9284e7108187376e264e7be3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5838511/SRR5838511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5838511/SRR5838511_2.fastq.gz
SRR5838512	Illumina MiSeq sequencing; fungal mock community; even; GoTaq	MockE_GoTaq_1	MockEGoTq1_S17_L001_R2_001.fastq.gz	f6357ae7bd4de4c9efef5cc238234959;c3abc179babd6f43cbd7efefb56097d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5838512/SRR5838512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5838512/SRR5838512_2.fastq.gz
SRR5838513	Illumina MiSeq sequencing; fungal mock community; staggered A; Phusion	MockA_Phusion_3	MockAPhGn3_S23_L001_R1_001.fastq.gz	4f09545e9147dfde43113dbe2fb3f707;3ff05dc9799167e82e4030c47330ffe4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5838513/SRR5838513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5838513/SRR5838513_2.fastq.gz
SRR5838514	Illumina MiSeq sequencing; fungal mock community; staggered A; Phusion	MockA_Phusion_2	MockAPhGn2_S22_L001_R2_001.fastq.gz	390715f61cbe38fb4a3a8d68bc40b286;662cceca80726cb3246eb0a37031115c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5838514/SRR5838514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5838514/SRR5838514_2.fastq.gz
SRR5838515	Illumina MiSeq sequencing; fungal mock community; staggered A; PreAmp	MockA_PreAmp_2	MockAPrmp2_S2_L001_R1_001.fastq.gz	9c5be40acbe416c5abceb100ebe01d18;2356a5902cc5d59769360dd9df53e6f3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5838515/SRR5838515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5838515/SRR5838515_2.fastq.gz
SRR5838516	Illumina MiSeq sequencing; fungal mock community; staggered A; PreAmp	MockA_PreAmp_1	MockAPrmp1_S1_L001_R1_001.fastq.gz	a9963b1648466750c13e268262007ada;c5586c9fbb37f8d10b34a264bff1051c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5838516/SRR5838516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5838516/SRR5838516_2.fastq.gz
SRR5838517	Illumina MiSeq sequencing; fungal mock community; staggered A; GoTaq	MockA_GoTaq_2	MockAGoTq2_S12_L001_R1_001.fastq.gz	1ca5274aadb83f2de08785c0bb51c8f0;dabf91a39725efb900c2c4620086abd9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5838517/SRR5838517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5838517/SRR5838517_2.fastq.gz
SRR5838518	Illumina MiSeq sequencing; fungal mock community; staggered A; GoTaq	MockA_GoTaq_1	MockAGoTq1_S11_L001_R1_001.fastq.gz	2d1ed4db8e2d60620d68e29bac89d6f4;0a40009f87e4ebba0c4b5f02a883d76f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5838518/SRR5838518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5838518/SRR5838518_2.fastq.gz
SRR5838519	Illumina MiSeq sequencing; fungal mock community; staggered A; Phusion	MockA_Phusion_1	MockAPhGn1_S21_L001_R2_001.fastq.gz	09050510c8bdc7b6b0f6b60e1b46b668;ec78ee7ad59330017c9e4b923b60baf9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5838519/SRR5838519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5838519/SRR5838519_2.fastq.gz
SRR5838520	Illumina MiSeq sequencing; fungal mock community; staggered A; GoTaq	MockA_GoTaq_3	MockAGoTq3_S13_L001_R1_001.fastq.gz	55b92e3523e3c6c652dbb3dfadba805c;bdd7f0e9028d9f7a4034939358a509c3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5838520/SRR5838520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5838520/SRR5838520_2.fastq.gz
SRR5838521	Illumina MiSeq sequencing; fungal mock community; staggered B; GoTaq	MockB_GoTaq_1	MockBGoTq1_S14_L001_R1_001.fastq.gz	1a355117010cd76d4459e68d9194f44b;4e58ffd25092a838e927d5c2b0368f73	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5838521/SRR5838521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5838521/SRR5838521_2.fastq.gz
SRR5838522	Illumina MiSeq sequencing; fungal mock community; staggered A; PreAmp	MockA_PreAmp_3	MockAPrmp3_S3_L001_R1_001.fastq.gz	253d11c872991d1c51c135bfc66e4a2c;aecef1b683c5966323de77148f235913	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5838522/SRR5838522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5838522/SRR5838522_2.fastq.gz
SRR5838523	Illumina MiSeq sequencing; negative control; Phusion	Neg_Phusion	NegCtlPhGn_S30_L001_R1_001.fastq.gz	cf0f9794d10243cb9701c2c14f173122;f676b62e3057175db3e61248e6fcd631	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5838523/SRR5838523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5838523/SRR5838523_2.fastq.gz
SRR5838524	Illumina MiSeq sequencing; negative control; PreAmp	Neg_PreAmp	NegCtlPrmp_S10_L001_R1_001.fastq.gz	1e31c3a1406fadb3230c3cd38082a64a;9fddeb022da41998db4e1e26c01beec3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5838524/SRR5838524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5838524/SRR5838524_2.fastq.gz
SRR5838525	Illumina MiSeq sequencing; fungal mock community; even; PreAmp	MockE_PreAmp_3	MockEPrmp3_S9_L001_R1_001.fastq.gz	cdf1479ad5d5cd8b55bc9d10e5bd0416;fc4ae98371a11e6d4b7fbb850da94d61	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5838525/SRR5838525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5838525/SRR5838525_2.fastq.gz
SRR5838526	Illumina MiSeq sequencing; negative control; GoTaq	Neg_GoTaq	NegCtlGoTq_S20_L001_R2_001.fastq.gz	416b4d5c7b6c8ad869c427d89350e47b;67f404eb6573c530fe0803e5c40318db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5838526/SRR5838526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5838526/SRR5838526_2.fastq.gz
SRR5838527	Illumina MiSeq sequencing; fungal mock community; even; PreAmp	MockE_PreAmp_1	MockEPrmp1_S7_L001_R1_001.fastq.gz	2b57978212ead066881718e35c032ca8;d9cb61430619da735ac1e0266d09f1cf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5838527/SRR5838527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5838527/SRR5838527_2.fastq.gz
SRR5838528	Illumina MiSeq sequencing; fungal mock community; even; PreAmp	MockE_PreAmp_2	MockEPrmp2_S8_L001_R1_001.fastq.gz	0d77322657701e92d9557b9e0d021588;cd077426e79cdfd283ab170fa4fadff4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5838528/SRR5838528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5838528/SRR5838528_2.fastq.gz
SRR5838529	Illumina MiSeq sequencing; fungal mock community; even; Phusion	MockE_Phusion_2	MockEPhGn2_S28_L001_R2_001.fastq.gz	7169f64413de2aaaf0cb0a9aa796fa51;0fe2ccf780fd9c598f7f0e06ea5a3948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5838529/SRR5838529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5838529/SRR5838529_2.fastq.gz
SRR5838530	Illumina MiSeq sequencing; fungal mock community; even; Phusion	MockE_Phusion_3	MockEPhGn3_S29_L001_R2_001.fastq.gz	c247651db3718416d99071dda5458cef;12db3533d34dc5f602af78080691d201	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5838530/SRR5838530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5838530/SRR5838530_2.fastq.gz
SRR5838531	Illumina MiSeq sequencing; fungal mock community; even; GoTaq	MockE_GoTaq_3	MockEGoTq3_S19_L001_R1_001.fastq.gz	d07a5ba40e303ca50b7f7e2b6848fe61;4a4974f1600d1bb822234dd3b21b405b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5838531/SRR5838531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5838531/SRR5838531_2.fastq.gz
