run_accession	instrument_model	library_name	fastq_md5	fastq_ftp	sample_alias
SRR7109336	Ion Torrent PGM	m3-301-1	9177b00bfb1f8f3dd78b1772765d0da3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109336/SRR7109336.fastq.gz	301-1
SRR7109337	Ion Torrent PGM	m3-mock3-16000	ff213d5b414bd6c562294654ace8f77c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109337/SRR7109337.fastq.gz	BioMock
SRR7109338	Ion Torrent PGM	m3-744-1	8cc3f82fe1473e1259157a5d6e13f596	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109338/SRR7109338.fastq.gz	744-1
SRR7109339	Ion Torrent PGM	m3-736-2	732e07464cb26e2be478376f69cf54af	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109339/SRR7109339.fastq.gz	736-2
SRR7109340	Ion Torrent PGM	m3-712-2	e1b1b23142253ca91d49a6e1e1234372	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109340/SRR7109340.fastq.gz	712-2
SRR7109341	Illumina MiSeq	m6-712-2	9eaa42a66a838fcd5074da50bac7a413;e4e930fe68d3c09a0d06195cecff537e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109341/SRR7109341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109341/SRR7109341_2.fastq.gz	712-2
SRR7109342	Illumina MiSeq	m6-500-2	6728187ed5f8398e06859d2625f80e35;3a8bd3e8718dcc6ed2d1bcd3c6fcf793	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109342/SRR7109342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109342/SRR7109342_2.fastq.gz	500-2
SRR7109343	Illumina MiSeq	m6-757-1	6ec613bbd23ba8614a853c2224cb666b;7d156f272a6c049977d19c28159fafd9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109343/SRR7109343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109343/SRR7109343_2.fastq.gz	757-1
SRR7109344	Illumina MiSeq	m6-757-2	a21d4fe3eb1d436cb7c93eecb1ecd846;4f1abd22b399a880fefd8f28e9360b90	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109344/SRR7109344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109344/SRR7109344_2.fastq.gz	757-2
SRR7109345	Illumina MiSeq	m6-mock3-16000	a8e26d32a09f1537c0e8378d2de3a292;2baa51d04d08bffba62913e06847de19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109345/SRR7109345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109345/SRR7109345_2.fastq.gz	BioMock
SRR7109346	Illumina MiSeq	m4A-mock3-32000b	b3bcf02cbe41307ac7d69561befcbc73;ccac226ed0e33f237cd345d048fea266	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109346/SRR7109346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109346/SRR7109346_2.fastq.gz	BioMock
SRR7109347	Illumina MiSeq	m4A-766-2	394a2d6d2cdb4d79edf74b81fefd3ac1;0859a855218cd03dd2175fa88286cdb5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109347/SRR7109347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109347/SRR7109347_2.fastq.gz	766-2
SRR7109348	Illumina MiSeq	m4A-mock3-32000a	46bab5358fba2b4d14321bc5ac8536fd;3e82a0dd62de1e015d065e765ff04b74	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109348/SRR7109348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109348/SRR7109348_2.fastq.gz	BioMock
SRR7109349	Illumina MiSeq	m4A-mock3-16000	8183102364a23c2bf28cf039e8c7608d;bebf3578d88c26deec4fd7cafbd834c8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109349/SRR7109349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109349/SRR7109349_2.fastq.gz	BioMock
SRR7109350	Illumina MiSeq	m4A-766-1	8bd5a1cf846b6fbb86d7e00f688a4649;9fd4589da9cca16ae5529831d95478fd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109350/SRR7109350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109350/SRR7109350_2.fastq.gz	766-1
SRR7109351	Ion Torrent PGM	m3-500-2	caf57f1effcf124a02fa013877d72b05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109351/SRR7109351.fastq.gz	500-2
SRR7109352	Illumina MiSeq	m4A-744-2	07406d5f7672e68d632ff76e5996dfbd;9cefb44346902c3328b6a0411de2d7df	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109352/SRR7109352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109352/SRR7109352_2.fastq.gz	744-2
SRR7109353	Illumina MiSeq	m4A-301-2	a83c9e041a5b68866b399d9c9659ff7c;b268f190d23f750d9fe228b6a05b5be5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109353/SRR7109353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109353/SRR7109353_2.fastq.gz	301-2
SRR7109354	Ion Torrent PGM	m5-mock3.0-16000	e0688df959ceb0a018bdc7bdbd02e33c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109354/SRR7109354.fastq.gz	BioMock
SRR7109355	Illumina MiSeq	m4A-757-2	24fc6f1f3d9a231423b8231fbbe908c4;89acdaf69f913681ceff29802e25e758	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109355/SRR7109355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109355/SRR7109355_2.fastq.gz	757-2
SRR7109356	Illumina MiSeq	m4C-766-2	71f7f3b38cecd97831ab92b21c9c9403;d90efc1cb150d53c1f16fccf62b88b4d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109356/SRR7109356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109356/SRR7109356_2.fastq.gz	766-2
SRR7109357	Ion Torrent PGM	m3-766-2	685c93d64d4a3dbeaa63d1a05969901f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109357/SRR7109357.fastq.gz	766-2
SRR7109358	Illumina MiSeq	m4A-stds	71eb108ac10499846aa13638aa4b9405;b5f068bad72c7b6d8477054eece7d038	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109358/SRR7109358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109358/SRR7109358_2.fastq.gz	BioMockStds
SRR7109359	Illumina MiSeq	m4C-500-2	c6103de9b36ba17a6480cda693397035;79fa5d1edfaec9379d86c7c78b2d8282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109359/SRR7109359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109359/SRR7109359_2.fastq.gz	500-2
SRR7109360	Ion Torrent PGM	m5-766-2	2a6004a483873b21049d611c5a21249d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109360/SRR7109360.fastq.gz	766-2
SRR7109361	Illumina MiSeq	m4C-736-2	940d62bd85c340087096fa771c15ff84;c1176977c96c1dcb0dac22b442bf4756	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109361/SRR7109361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109361/SRR7109361_2.fastq.gz	736-2
SRR7109362	Illumina MiSeq	m4C-755-1	ef490991f68e8646a07ccf7c456b8c97;6dac81aa0b9b59b4feeb3a64fd4328a1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109362/SRR7109362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109362/SRR7109362_2.fastq.gz	755-1
SRR7109363	Illumina MiSeq	m4C-mock3-32000a	e6204146574e3684a7388a7ff82794ea;d006e6dfab6342e29a93983153cfde57	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109363/SRR7109363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109363/SRR7109363_2.fastq.gz	BioMock
SRR7109364	Illumina MiSeq	m4C-757-1	82406aa202478b95577d6c2db56caae9;55babbb23a5a8dbbdfa601aef542ef8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109364/SRR7109364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109364/SRR7109364_2.fastq.gz	757-1
SRR7109365	Illumina MiSeq	m4C-mock3-16000	6a905e6a5b9274e70b5356b5cd49ca97;57826eb4370ce3f258aef6272113265b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109365/SRR7109365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109365/SRR7109365_2.fastq.gz	BioMock
SRR7109366	Illumina MiSeq	m4C-712-2	91281c53351efe848782dde413e0be8e;219ab5667b9039b12b184e7016d91f21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109366/SRR7109366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109366/SRR7109366_2.fastq.gz	712-2
SRR7109367	Illumina MiSeq	m4C-mock3-32000b	a2d0e0b78113e0d11fc83390aca8e6e5;ec4c34c63e70451c134809bdf57afd53	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109367/SRR7109367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109367/SRR7109367_2.fastq.gz	BioMock
SRR7109368	Illumina MiSeq	m4b-744-1	df86f188033b73434956f325353a647d;142e25ee89a3edd1936d0aad21daa6b0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109368/SRR7109368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109368/SRR7109368_2.fastq.gz	744-1
SRR7109369	Illumina MiSeq	m4C-stds	736bb5efec8ddba8dfa7ecddac127a80;358d1304960cfb46d020c3f03df26eec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109369/SRR7109369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109369/SRR7109369_2.fastq.gz	BioMockStds
SRR7109370	Ion Torrent PGM	m3-757-2	f81278c252a32b5b48bae579d8bc762b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109370/SRR7109370.fastq.gz	757-2
SRR7109371	Ion Torrent PGM	m3-mock3-32000a	00202e312c4e04aa1aa575bd5f37abda	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109371/SRR7109371.fastq.gz	BioMock
SRR7109372	Ion Torrent PGM	m3-500-1	1142063fcd853bcaf48f7cbbc24105db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109372/SRR7109372.fastq.gz	500-1
SRR7109373	Ion Torrent PGM	m3-mock3-32000b	eb71f11eda50c369f3b4c0e927385968	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109373/SRR7109373.fastq.gz	BioMock
SRR7109374	Ion Torrent PGM	m3-755-2	1d8c78b5229fc16cdd88a85d7c2da1e8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109374/SRR7109374.fastq.gz	755-2
SRR7109375	Ion Torrent PGM	m3-744-2	fa0e48a14a321b2e92eea4f481d02cd5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109375/SRR7109375.fastq.gz	744-2
SRR7109376	Ion Torrent PGM	m3-736-1	f56a7152607536ca7b3518f3c7e8b504	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109376/SRR7109376.fastq.gz	736-1
SRR7109377	Illumina MiSeq	m4A-736-1	a52bd83d694f950ef96408dd1a3d5130;0212f29ca23c9f03d36013604eddd1ef	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109377/SRR7109377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109377/SRR7109377_2.fastq.gz	736-1
SRR7109378	Ion Torrent PGM	m3-stds	b3bd02b2f067740b8fdb9c168c81fc86	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109378/SRR7109378.fastq.gz	BioMockStds
SRR7109379	Illumina MiSeq	m4A-500-1	aff06f1e55664901d381711d65292249;3079216c5d5747556f856ededb049356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109379/SRR7109379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109379/SRR7109379_2.fastq.gz	500-1
SRR7109380	Illumina MiSeq	m4A-757-1	d3e41388d40c4b039e7f395b3add8966;8a19e4f925341c35565f38b30fbb1049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109380/SRR7109380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109380/SRR7109380_2.fastq.gz	757-1
SRR7109381	Ion Torrent PGM	m3-301-2	c7d402a32f2c4bb5911ff04a0a4c74dc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109381/SRR7109381.fastq.gz	301-2
SRR7109382	Illumina MiSeq	m4A-755-2	2214d65298467804b2e97ea57220a8f8;4c6b8a27077ca9902703424f4573d17a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109382/SRR7109382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109382/SRR7109382_2.fastq.gz	755-2
SRR7109383	Illumina MiSeq	m4A-500-2	fed1a450bde03ba70574614e8560fc80;2c730e335e1f3fee7c7f23c99c96ad1d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109383/SRR7109383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109383/SRR7109383_2.fastq.gz	500-2
SRR7109384	Illumina MiSeq	m4A-744-1	2573d74d109d5b9106587db4190c2fc0;1e58496c43e4ce89a61ed283038fc391	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109384/SRR7109384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109384/SRR7109384_2.fastq.gz	744-1
SRR7109385	Illumina MiSeq	m4A-736-2	69eab782e7a09513016d0695f59d8c8b;de5c05eb2c1027faaaa970eabc7474fe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109385/SRR7109385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109385/SRR7109385_2.fastq.gz	736-2
SRR7109386	Illumina MiSeq	m4A-712-2	8ee0206a322ef96fb58a6f5d9c2ef213;13d24c914fc30bed4134857f0a35b7b3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109386/SRR7109386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109386/SRR7109386_2.fastq.gz	712-2
SRR7109387	Illumina MiSeq	m4A-712-1	77d366c0d5faa8365768bf6a26c70f2e;c20a0be0f9b8892b07dcd53c9ad8494d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109387/SRR7109387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109387/SRR7109387_2.fastq.gz	712-1
SRR7109388	Illumina MiSeq	m4A-755-1	80e45f0db6275aa0d373c2b07a872726;31ff3c8bded5cb26d115a00f3127a817	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109388/SRR7109388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109388/SRR7109388_2.fastq.gz	755-1
SRR7109389	Illumina MiSeq	m4C-301-1	8dd56e098aa2f51d412a7684bd6d3f7d;d943bc400aea0c2c88731ceb85d0e473	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109389/SRR7109389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109389/SRR7109389_2.fastq.gz	301-1
SRR7109390	Illumina MiSeq	m4C-744-2	8311b3c9c0be39fbe6e45825c3e73426;697d81b6e9c5377809766276e0c60a03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109390/SRR7109390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109390/SRR7109390_2.fastq.gz	744-2
SRR7109391	Illumina MiSeq	m4C-500-1	77e4f96a995b121ff18e6df7de948558;05b35b73cb3bd679e46e9aeef7d2bc69	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109391/SRR7109391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109391/SRR7109391_2.fastq.gz	500-1
SRR7109392	Illumina MiSeq	m4C-766-1	7cefa88a74978dbb1574f8fe158478d5;0162e281d8e21440d103dad7d5d3b858	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109392/SRR7109392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109392/SRR7109392_2.fastq.gz	766-1
SRR7109393	Illumina MiSeq	m4C-755-2	e65f5a08b722e6af7f1a64ca3041cf28;3931a31bd9fadb83e74d1cec29adc5f6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109393/SRR7109393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109393/SRR7109393_2.fastq.gz	755-2
SRR7109394	Illumina MiSeq	m4C-736-1	3d5b106f684dfe3f0413845f3da6011d;9a6dfead7c338a06024cfa4c8adc78ed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109394/SRR7109394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109394/SRR7109394_2.fastq.gz	736-1
SRR7109395	Illumina MiSeq	m4C-301-2	a7e8f61a6cab60c16439fbac7fc2aaba;20a92ca3c480e926b3bdd06a86f91cc5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109395/SRR7109395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109395/SRR7109395_2.fastq.gz	301-2
SRR7109396	Ion Torrent PGM	m3-766-1	c9466789028fd7a1aff65197254453e2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109396/SRR7109396.fastq.gz	766-1
SRR7109397	Illumina MiSeq	m4C-744-1	6e0be84ec8b8488e7ac2128e4ab5e28e;21a54cb4c5ad6a5d8d0593bd485fcf35	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109397/SRR7109397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109397/SRR7109397_2.fastq.gz	744-1
SRR7109398	Illumina MiSeq	m4C-757-2	d9e74596e2eb50c88915e26c97aa2784;025c09621ad764a19526ff9cee1e82c9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109398/SRR7109398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109398/SRR7109398_2.fastq.gz	757-2
SRR7109399	Ion Torrent PGM	m5-744-1	e5766c99e06e004adc016c8c5f10014b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109399/SRR7109399.fastq.gz	744-1
SRR7109400	Ion Torrent PGM	m5-mock3.5-16000	32d1d47c00542b510e7731917a9e3a50	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109400/SRR7109400.fastq.gz	BioMock
SRR7109401	Ion Torrent PGM	m5-712-2	f990727bd892cf7405b353ea481045be	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109401/SRR7109401.fastq.gz	712-2
SRR7109402	Ion Torrent PGM	m5-301-1	f5178f921a2c48862d9a43cf251f5237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109402/SRR7109402.fastq.gz	301-1
SRR7109403	Ion Torrent PGM	m5-500-2	eafe731b0025aebca40f2d7d926fd564	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109403/SRR7109403.fastq.gz	500-2
SRR7109404	Ion Torrent PGM	m5-757-1	00aaa2e6c4217ae58aa13f0e18acc687	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109404/SRR7109404.fastq.gz	757-1
SRR7109405	Ion Torrent PGM	m5-SynMock1.736-1.736-2	cdfcf1515feeab898234ae3ab141f3dc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109405/SRR7109405.fastq.gz	SynMock
SRR7109406	Illumina MiSeq	m6-712-1	ed1d9e700afeb24e74fc0bf48fa3fe7d;e7c94bddd862c45b0480061425b4d018	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109406/SRR7109406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109406/SRR7109406_2.fastq.gz	712-1
SRR7109407	Ion Torrent PGM	m3-712-1	f4f3a77fe9f54d7bd57db6253beaa663	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109407/SRR7109407.fastq.gz	712-1
SRR7109408	Illumina MiSeq	m6-744-1	bf6213e0c2e71499609a2088d82acd1c;7c2c9f9ed7176299df56144a346a1ed9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109408/SRR7109408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109408/SRR7109408_2.fastq.gz	744-1
SRR7109409	Illumina MiSeq	m6-mock3-32000a	291f68948beca50171743e3641f60952;4ebce7b6c76e30b332c73ca37c0bf2a3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109409/SRR7109409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109409/SRR7109409_2.fastq.gz	BioMock
SRR7109410	Illumina MiSeq	m4C-712-1	e9fa8c663367e45da7095e3760eeb05e;92ba48413b272bd3a340e9f2d462e67a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109410/SRR7109410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109410/SRR7109410_2.fastq.gz	712-1
SRR7109411	Illumina MiSeq	m6-766-2	e19be23b1d72ca83030845eaa3667d06;1c8cb8c3d2247a505f84229fbac1099e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109411/SRR7109411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109411/SRR7109411_2.fastq.gz	766-2
SRR7109412	Illumina MiSeq	m6-755-1	1bbcf503d9e7fab39120f7a8b7520dc6;0c3473fdab774661304a71fafacfac92	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109412/SRR7109412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109412/SRR7109412_2.fastq.gz	755-1
SRR7109413	Ion Torrent PGM	m5-SynMock2.757-1.757-2	59118709fd74bc1e4af7b65cfa2077a3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109413/SRR7109413.fastq.gz	SynMock
