run_accession	library_name	run_alias	fastq_md5	fastq_ftp	sample_alias	sample_title
SRR13393751	US-3-7	OWS-7_S68_L001_R1_001.fastq.gz	93e25a27b2b2c2ef679a73e0011db3d5;d98da72e519e17a4b2fd7e86e3963530	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/051/SRR13393751/SRR13393751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/051/SRR13393751/SRR13393751_2.fastq.gz	US3-7	PCR of ITS
SRR13393752	US-3-6	OWS-6_S56_L001_R1_001.fastq.gz	a45d1692d5c12d652e41137443c3a9a9;04bc4cd07854919554f59a44b4c1cc94	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/052/SRR13393752/SRR13393752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/052/SRR13393752/SRR13393752_2.fastq.gz	US3-6	PCR of ITS
SRR13393753	US-3-4	OWS-4_S44_L001_R1_001.fastq.gz	cdeffc3fb106f697d9fa503bc258591f;ba2398b60d3914e282f7e6702f37e20f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/053/SRR13393753/SRR13393753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/053/SRR13393753/SRR13393753_2.fastq.gz	US3-4	PCR of ITS
SRR13393754	US-3-3	OWS-3_S32_L001_R1_001.fastq.gz	7f2cb8b7e88777100d3f938bd289fff2;974104bab83bf71f5ef95f0decf84779	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/054/SRR13393754/SRR13393754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/054/SRR13393754/SRR13393754_2.fastq.gz	US3-3	PCR of ITS
SRR13393755	US-3-2	OWS-2_S20_L001_R1_001.fastq.gz	7e7f58fc9c788020f7bc99b6a200d53e;9629d17696c03f0bdfeaeea5344a9c4c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/055/SRR13393755/SRR13393755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/055/SRR13393755/SRR13393755_2.fastq.gz	US3-2	PCR of ITS
SRR13393756	US-3-1	OWS-1_S8_L001_R1_001.fastq.gz	56f59a01dfb4c90a6b221c3d5a96405f;8c4035838074dfe5b63540ba5ac4321a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/056/SRR13393756/SRR13393756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/056/SRR13393756/SRR13393756_2.fastq.gz	US3-1	PCR of ITS
SRR13393757	US-2-10	DUN-20_S87_L001_R1_001.fastq.gz	14cac75b7f96a935c87dffed41438368;4c05c31e975a43599cef79621b60ca51	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/057/SRR13393757/SRR13393757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/057/SRR13393757/SRR13393757_2.fastq.gz	US2-10	PCR of ITS
SRR13393758	DS-1-2	B-2_S26_L001_R1_001.fastq.gz	0d203ecbd7f0a6c43ef6dda01b53338f;dd70f0051354906332bc58d75038bec4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/058/SRR13393758/SRR13393758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/058/SRR13393758/SRR13393758_2.fastq.gz	DS1-2	PCR of ITS
SRR13393759	US-2-9	DUN-19_S75_L001_R1_001.fastq.gz	d133ec0957644e751c82bae28e79c60f;10c3cd4bd674e51c4d6a34f15e177c98	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/059/SRR13393759/SRR13393759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/059/SRR13393759/SRR13393759_2.fastq.gz	US2-9	PCR of ITS
SRR13393760	US-2-3	DUN-13_S63_L001_R1_001.fastq.gz	46cd9a02f612ad1fbb605d2aaa64b429;89bb384643303698bf78e7c64c282051	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/060/SRR13393760/SRR13393760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/060/SRR13393760/SRR13393760_2.fastq.gz	US2-3	PCR of ITS
SRR13393761	US-2-8	DUN18_S91_L001_R1_001.fastq.gz	3882116b4243b7636d7c1ca93d73c74f;7eaaa7b24cdab214d2dd0fa839dcd90c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/061/SRR13393761/SRR13393761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/061/SRR13393761/SRR13393761_2.fastq.gz	US2-8	PCR of ITS
SRR13393762	US-2-5	DUN15_S90_L001_R1_001.fastq.gz	9254c8b76d6f65e1ad826586ce83b77a;4b6c00659227fcfeccedfd56b8e69f92	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/062/SRR13393762/SRR13393762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/062/SRR13393762/SRR13393762_2.fastq.gz	US2-5	PCR of ITS
SRR13393763	US-2-4	DUN14_S89_L001_R1_001.fastq.gz	d4941a48f2c248d71f7494c166566d02;128fe49c5313944627203378ab6f349d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/063/SRR13393763/SRR13393763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/063/SRR13393763/SRR13393763_2.fastq.gz	US2-4	PCR of ITS
SRR13393764	US-2-2	DUN12_S88_L001_R1_001.fastq.gz	12c55e61f3c4b27cb84212bef8d04347;1d94910c1b1a846949bcf14b6fa4d8d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/064/SRR13393764/SRR13393764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/064/SRR13393764/SRR13393764_2.fastq.gz	US2-2	PCR of ITS
SRR13393765	US-2-1	DUN11-2_S87_L001_R1_001.fastq.gz	e19b122cf0531f17d57b609230e68da7;72e5042717a27fdcc2f5191778e99925	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/065/SRR13393765/SRR13393765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/065/SRR13393765/SRR13393765_2.fastq.gz	US2-1	PCR of ITS
SRR13393766	US-1-11	DAL-21_S6_L001_R1_001.fastq.gz	bbdcabbc881417d3f7fe52cb0a67cea7;1f9b1f9bd46bed894bd0d676411ba730	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/066/SRR13393766/SRR13393766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/066/SRR13393766/SRR13393766_2.fastq.gz	US1-11	PCR of ITS
SRR13393767	US-1-10	DAL-10_S41_L001_R1_001.fastq.gz	a84a4c27d454c8e30933659fc7e27a86;1e2ff2291e15cb755202c7534e023aab	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/067/SRR13393767/SRR13393767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/067/SRR13393767/SRR13393767_2.fastq.gz	US1-10	PCR of ITS
SRR13393768	US-1-9	DAL-9_S29_L001_R1_001.fastq.gz	3d22cca0379186946c76382f5160f034;69605fe8464c3a81666a7d327821949b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/068/SRR13393768/SRR13393768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/068/SRR13393768/SRR13393768_2.fastq.gz	US1-9	PCR of ITS
SRR13393769	DS-1-1	B-1_S14_L001_R1_001.fastq.gz	48087214cc517ee4f4aaa40c607e40e5;c0e63bc9ec0b0ff9ffc7ce2a5731383b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/069/SRR13393769/SRR13393769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/069/SRR13393769/SRR13393769_2.fastq.gz	DS1-1	PCR of ITS
SRR13393770	US-1-8	DAL-8_S17_L001_R1_001.fastq.gz	7f160407fa2b2515de1665fb87d9577f;91784e244126f1f93541aee0047d57a9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/070/SRR13393770/SRR13393770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/070/SRR13393770/SRR13393770_2.fastq.gz	US1-8	PCR of ITS
SRR13393771	US-1-6	DAL-6_S5_L001_R1_001.fastq.gz	697fb8c93cbbf95352be55fad0be540f;4f2ad6b8aaca014f643c42676133ddd6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/071/SRR13393771/SRR13393771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/071/SRR13393771/SRR13393771_2.fastq.gz	US1-6	PCR of ITS
SRR13393772	US-1-4	DAL-4_S88_L001_R1_001.fastq.gz	6a0d39c14142af07b1d2879b4527f190;7df40e8d67a830bcd47bb94af8eba310	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/072/SRR13393772/SRR13393772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/072/SRR13393772/SRR13393772_2.fastq.gz	US1-4	PCR of ITS
SRR13393773	US-1-2	DAL-2_S76_L001_R1_001.fastq.gz	0a840408d65a46e39b32410215785098;9c0ede0cc8462f0c6103d61151c5f00f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/073/SRR13393773/SRR13393773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/073/SRR13393773/SRR13393773_2.fastq.gz	US1-2	PCR of ITS
SRR13393774	DS-9-9	W-9_S2_L001_R1_001.fastq.gz	2c17691350ce44d9bf456355b5938f3d;118ae694a8301c1e06d0fc67494f4aa0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/074/SRR13393774/SRR13393774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/074/SRR13393774/SRR13393774_2.fastq.gz	DS9-9	PCR of ITS
SRR13393775	DS-9-7b	W-7_S59_L001_R1_001.fastq.gz	78fb17476ca526de1a7472d6f21ed118;320d82da5421577b23e86f1080c853af	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13393775/SRR13393775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13393775/SRR13393775_2.fastq.gz	DS9-7b	PCR of ITS
SRR13393776	DS-9-6	W-6_S61_L001_R1_001.fastq.gz	495d1b4b19732bd2ca69e741a272b791;98b22184f90f59cb9cd9ffd666271239	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13393776/SRR13393776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13393776/SRR13393776_2.fastq.gz	DS9-6	PCR of ITS
SRR13393777	DS-9-5b	W-5_S83_L001_R1_001.fastq.gz	536d966135a79e1e48e6e60fc837218e;fc351c644866e42b9aabfbc2c800e51d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/077/SRR13393777/SRR13393777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/077/SRR13393777/SRR13393777_2.fastq.gz	DS9-5b	PCR of ITS
SRR13393778	DS-9-2b	W-2_S71_L001_R1_001.fastq.gz	544635ebe56db11d97f7592f853445e2;fe8cf2e236f289427ce99b064fe11c5c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/078/SRR13393778/SRR13393778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/078/SRR13393778/SRR13393778_2.fastq.gz	DS9-2b	PCR of ITS
SRR13393779	DS-9-1	W-1_S49_L001_R1_001.fastq.gz	c38b3ac71681854f97213debf24d0584;4b48d861457f1c50902bc4c97ea16324	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/079/SRR13393779/SRR13393779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/079/SRR13393779/SRR13393779_2.fastq.gz	DS9-1	PCR of ITS
SRR13393780	DS-1-8	B8_S77_L001_R1_001.fastq.gz	3cbc26225515bc8d93afa15f725730e4;3d5a71e485eb879e4f42218cd1662e8d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/080/SRR13393780/SRR13393780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/080/SRR13393780/SRR13393780_2.fastq.gz	DS1-8	PCR of ITS
SRR13393781	DS-9-11	W11_S74_L001_R1_001.fastq.gz	378de34cd245743c60cc74675c21163c;a3a1025ecf1b891246a71e22aefd9bde	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/081/SRR13393781/SRR13393781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/081/SRR13393781/SRR13393781_2.fastq.gz	DS9-11	PCR of ITS
SRR13393782	DS-9-10	W10_S73_L001_R1_001.fastq.gz	67e2a19094be6483610f313252f976da;c848b8a05fa48c7320434972897a4af2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/082/SRR13393782/SRR13393782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/082/SRR13393782/SRR13393782_2.fastq.gz	DS9-10	PCR of ITS
SRR13393783	DS-9-7a	W7_S72_L001_R1_001.fastq.gz	9ef9dfdc091cf2197a98537205b30eba;c671ac115be9ce1106454dc1268a0d26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/083/SRR13393783/SRR13393783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/083/SRR13393783/SRR13393783_2.fastq.gz	DS9-7a	PCR of ITS
SRR13393784	DS-9-5a	W5_S71_L001_R1_001.fastq.gz	25dce2dcd5c5a5d5cf71f7b9019c86e6;ab2433c44d765f730f3d910734dc6771	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/084/SRR13393784/SRR13393784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/084/SRR13393784/SRR13393784_2.fastq.gz	DS9-5a	PCR of ITS
SRR13393785	DS-9-4	W4-3_S70_L001_R1_001.fastq.gz	32e48bb9e58bd0f988b887db3fd42c79;b655a64d2bd91dc2319470261c62f94d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13393785/SRR13393785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13393785/SRR13393785_2.fastq.gz	DS9-4	PCR of ITS
SRR13393786	DS-9-3	W3_S68_L001_R1_001.fastq.gz	30e07f79e6b54c8a92aef95774e7d6e6;c8141f42ce1491c3ade68613dd2d187c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/086/SRR13393786/SRR13393786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/086/SRR13393786/SRR13393786_2.fastq.gz	DS9-3	PCR of ITS
SRR13393787	DS-9-2a	W2-1_S69_L001_R1_001.fastq.gz	5347f1fde701194e33696f41c22b0278;cf100a3248252415101e7d4b0c3ffe94	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/087/SRR13393787/SRR13393787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/087/SRR13393787/SRR13393787_2.fastq.gz	DS9-2a	PCR of ITS
SRR13393788	DS-8-5	ROS-5_S91_L001_R1_001.fastq.gz	f97c267b97beceeadfefc2ea2406b56f;acf62625dc72f023d2320b8bf2dd6095	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/088/SRR13393788/SRR13393788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/088/SRR13393788/SRR13393788_2.fastq.gz	DS8-5	PCR of ITS
SRR13393789	DS-8-4	ROS-4_S79_L001_R1_001.fastq.gz	7dacb12f605470b5ea81bbc4b40549cc;42027b6c21928314fdcd525174cf6846	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/089/SRR13393789/SRR13393789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/089/SRR13393789/SRR13393789_2.fastq.gz	DS8-4	PCR of ITS
SRR13393790	DS-8-3	ROS-3_S67_L001_R1_001.fastq.gz	7ce925b43189931c88bdb7b6a680ff8b;2f0bd04834279dace0033dc6c9561514	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/090/SRR13393790/SRR13393790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/090/SRR13393790/SRR13393790_2.fastq.gz	DS8-3	PCR of ITS
SRR13393791	DS-1-7	B7-2_S76_L001_R1_001.fastq.gz	bcefcc9711c302e4be5914505d915a82;0ed3b0a7a8c525d389f15585a6c3faaa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/091/SRR13393791/SRR13393791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/091/SRR13393791/SRR13393791_2.fastq.gz	DS1-7	PCR of ITS
SRR13393792	DS-8-2	ROS-2_S55_L001_R1_001.fastq.gz	1732ae562820e3e71bff1e2bd608fc06;00f69da643b22900344c108bac5639c2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/092/SRR13393792/SRR13393792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/092/SRR13393792/SRR13393792_2.fastq.gz	DS8-2	PCR of ITS
SRR13393793	DS-7-5	HLS-10_S69_L001_R1_001.fastq.gz	7627f204dc1925a6381ba3bbf3222873;4d6b8bc7601cc16621d051a50542bb3d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/093/SRR13393793/SRR13393793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/093/SRR13393793/SRR13393793_2.fastq.gz	DS7-5	PCR of ITS
SRR13393794	DS-7-4	HLS-9_S57_L001_R1_001.fastq.gz	b9dc6b930f28d647f1045f5c3e0f4b6b;8c4d1cd1937b40916587ddc48b5eb289	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/094/SRR13393794/SRR13393794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/094/SRR13393794/SRR13393794_2.fastq.gz	DS7-4	PCR of ITS
SRR13393795	DS-7-3	HLS-8_S45_L001_R1_001.fastq.gz	2f131faee1465aed43ce4b3868207ad3;4e3a6f85c760473728d2355412843dc5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/095/SRR13393795/SRR13393795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/095/SRR13393795/SRR13393795_2.fastq.gz	DS7-3	PCR of ITS
SRR13393796	DS-7-2	HLS-7_S33_L001_R1_001.fastq.gz	4a92cdf1393e2a271559bc8b1302afc9;4b4673b096129d1176e44ccc4876e54d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/096/SRR13393796/SRR13393796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/096/SRR13393796/SRR13393796_2.fastq.gz	DS7-2	PCR of ITS
SRR13393797	DS-7-1	HLS-6_S21_L001_R1_001.fastq.gz	2e0e9ddba13fbdae811e7955ea21269c;d7719a60e7e3eefb2ce84f845ba1864b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13393797/SRR13393797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13393797/SRR13393797_2.fastq.gz	DS7-1	PCR of ITS
SRR13393798	DS-6-10	DUN-10_S51_L001_R1_001.fastq.gz	1ff3211ef0df047aa24d8eb5358499c2;bdd5108b0cbfba75a07b8b6eceab6984	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/098/SRR13393798/SRR13393798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/098/SRR13393798/SRR13393798_2.fastq.gz	DS6-10	PCR of ITS
SRR13393799	DS-6-6	DUN-6_S39_L001_R1_001.fastq.gz	d36d3b180951579f8ebfca0210694bb1;cfc5d03892613db0c4ff98f21c42311a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/099/SRR13393799/SRR13393799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/099/SRR13393799/SRR13393799_2.fastq.gz	DS6-6	PCR of ITS
SRR13393800	DS-6-3	DUN-3_S27_L001_R1_001.fastq.gz	8f72ca776ef886ecd5371a91ec0c0b05;851368cf6b417678d6f6b801f9808374	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/000/SRR13393800/SRR13393800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/000/SRR13393800/SRR13393800_2.fastq.gz	DS6-3	PCR of ITS
SRR13393801	DS-6-2	DUN-2_S15_L001_R1_001.fastq.gz	5c198c05310274517b2c68c8d18b1919;3efcd4eda1cf1af2ad59bd64d44ca79a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/001/SRR13393801/SRR13393801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/001/SRR13393801/SRR13393801_2.fastq.gz	DS6-2	PCR of ITS
SRR13393802	posi-2	posi-2_S85_L001_R1_001.fastq.gz	828ee36208ea20d6055bd099f32b9a5f;e6026baff6f320d6e7315651ca02c0ba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/002/SRR13393802/SRR13393802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/002/SRR13393802/SRR13393802_2.fastq.gz	Control Phytophthora 3	PCR of ITS
SRR13393803	DS-6-1	DUN-1_S3_L001_R1_001.fastq.gz	ef1a1403b356248616a7c406064403ce;c4f7c99ff097e62279191e06ec242e66	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13393803/SRR13393803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13393803/SRR13393803_2.fastq.gz	DS6-1	PCR of ITS
SRR13393804	DS-5-9	DAL-19_S89_L001_R1_001.fastq.gz	260fb2d8593c81a5cf8b21856d9d2ee5;57bc8e34b8454a63ce574284387f4bf9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/004/SRR13393804/SRR13393804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/004/SRR13393804/SRR13393804_2.fastq.gz	DS5-9	PCR of ITS
